vazao,nivel
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
